REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
4,2017,"Wang, Rongrong; Li, Ningxin; Liu, Jiannan; Li, Tuo; Liu, Ming; Yu, Zhijun; Liu, Jingze",Symbiont dynamics of the Tibetan tick Haemaphysalis tibetensis (Acari: Ixodidae),Parasites & Vectors,1756-3305,259,,10,Studies that did not meet inclusion criteria,"Sequenced adults, but only used qPCR for offspring",
4,2017,"Wankhade, Umesh D.; Zhong, Ying; Kang, Ping; Alfaro, Maria; Chintapalli, Sree V.; Thakali, Keshari M.; Shankar, Kartik",Enhanced offspring predisposition to steatohepatitis with maternal high-fat diet is associated with epigenetic and microbiome alterations,PloS One,1932-6203,e0175675,4,12,Studies that did not meet inclusion criteria,,
4,2017,"Yan, H.; Lu, H.; Almeida, V. V.; Ward, M. G.; Adeola, O.; Nakatsu, C. H.; Ajuwon, K. M.","Effects of dietary resistant starch content on metabolic status, milk composition, and microbial profiling in lactating sows and on offspring performance",Journal of Animal Physiology and Animal Nutrition,0931-2439,190-200,1,101,Studies that did not meet inclusion criteria,,
1,2018,"Gallenga, P. E.; Del Boccio, M.; Gallenga, C. E.; Neri, G.; Pennelli, A.; Toniato, E.; Lobefalo, L.; Maritati, M.; Perri, P.; Contini, C.; Del Boccio, G.","DIAGNOSIS OF A NEONATAL OPHTHALMIC DISCHARGE, OPHTHALMIA NEONATORUM, IN THE ""MOLECULAR AGE"": INVESTIGATION FOR A CORRECT THERAPY",Journal of Biological Regulators and Homeostatic Agents,0393-974X,177-184,1,32,Studies that did not meet inclusion criteria,,
1,2018,"Vannier, Nathan; Mony, Cendrine; Bittebiere, Anne-Kristel; Michon-Coudouel, Sophie; Biget, Marine; Vandenkoornhuyse, Philippe",A microorganisms' journey between plant generations,Microbiome,2049-2618,79,,6,Studies that did not meet inclusion criteria,,
1,2018,"Freitas, Aline C.; Bocking, Alan; Hill, Janet E.; Money, Deborah M.",Increased richness and diversity of the vaginal microbiota and spontaneous preterm birth,Microbiome,2049-2618,117,,6,Studies that did not meet inclusion criteria,,
1,2018,"Li, Yang; Chen, Jing-song; Xue, Ge; Peng, Yuanying; Song, Hui-xing","Effect of clonal integration on nitrogen cycling in rhizosphere of rhizomatous clonal plant, Phyllostachys bissetii, under heterogeneous light",Science of the Total Environment,0048-9697,594-602,,628-629,Studies that did not meet inclusion criteria,,
1,2018,"Morimoto, Sachi; Usui, Hirokazu; Kobayashi, Tatsuya; Katou, Eiji; Goto, Shunji; Tanaka, Hirokazu; Shozu, Makio",Bacterial-Culture-Negative Subclinical Intra-Amniotic Infection Can Be Detected by Bacterial 16S Ribosomal-DNA-Amplifying Polymerase Chain Reaction,Japanese Journal of Infectious Diseases,1344-6304,274-280,4,71,Studies that did not meet inclusion criteria,,
1,2018,"Pidwill, Grace R.; Rego, Sara; Jenkinson, Howard F.; Lamont, Richard J.; Nobbs, Angela H.",Coassociation between Group B Streptococcus and Candida albicans Promotes Interactions with Vaginal Epithelium,Infection and Immunity,0019-9567,e00669-17,4,86,Studies that did not meet inclusion criteria,Only used cell cultures of vaginal epithelium ,
1,2018,"Sureshchandra, Suhas; Marshall, Nicole E.; Wilson, Randall M.; Barr, Tasha; Rais, Maham; Purnell, Jonathan Q.; Thornburg, Kent L.; Messaoudi, Ilhem",Inflammatory Determinants of Pregravid Obesity in Placenta and Peripheral Blood,Frontiers in Physiology,1664-042X,1089,,9,Studies that did not meet inclusion criteria,,
2,2018,"Boonthai, Traimat; Khaopong, Weerasith; Sangsong, Jumlong; Vuthiphandchai, Verapong; Nimrat, Subuntith",In vitro inoculation of Aeromonas hydrophila and Pseudomonas fluorescens in cryopreserved silver barb (Barbodes gonionotus) milt: Effect on fertilization capacity and transmission potential to embryos.,Theriogenology,0093-691X,1-6,,108,Studies that did not meet inclusion criteria,,
2,2018,"Dhinaut, Julien; Chogne, Manon; Moret, Yannick",Trans-generational immune priming in the mealworm beetle protects eggs through pathogen-dependent mechanisms imposing no immediate fitness cost for the offspring.,Developmental & Comparative Immunology,0145-305X,105-112,,79,Studies that did not meet inclusion criteria,,
2,2018,"Dhinaut, Julien; Chogne, Manon; Moret, Yannick",Immune priming specificity within and across generations reveals the range of pathogens affecting evolution of immunity in an insect.,Journal of Animal Ecology,0021-8790,448-463,2,87,Studies that did not meet inclusion criteria,,
2,2018,"Allan, Brenda; Wheler, Colette; Koster, Wolfgang; Sarfraz, Mishal; Potter, Andy; Gerdts, Volker; Dar, Arshud",In Ovo Administration of Innate Immune Stimulants and Protection from Early Chick Mortalities due to Yolk Sac Infection,Avian Diseases,0005-2086,316-321,3,62,Studies that did not meet inclusion criteria,,
2,2018,"Henry, Lucas P.; Newton, Irene L. G.",Mitochondria and Wolbachia titers are positively correlated during maternal transmission,Molecular Ecology,0962-1083,2634-2646,11,27,Studies that did not meet inclusion criteria,,
2,2018,"Zirbel, Kylie E.; Alto, Barry W.",Maternal and paternal nutrition in a mosquito influences offspring life histories but not infection with an arbovirus.,Ecosphere,2150-8925; 2150-8925,e02469,10,9,Studies that did not meet inclusion criteria,,
2,2018,"zu Dohna, Heinrich; Houry, Carine; Kambris, Zakaria",A comparative analysis of Wolbachia-induced host reproductive phenotypes reveals transition rate heterogeneity.,Ecology and Evolution,2045-7758,1945-1953,4,8,Studies that did not meet inclusion criteria,,
2,2018,"Alda Dossi, Fabio Cleisto; da Silva, Edney Pereira; Consoli, Fernando Luis","Shifting the Balance: Heat Stress Challenges the Symbiotic Interactions of the Asian Citrus Psyllid, Diaphorina citri (Hemiptera, Liviidae)",Biological Bulletin,0006-3185,195-203,3,235,Studies that did not meet inclusion criteria,,
2,2018,"Cattel, Julien; Nikolouli, Katerina; Andrieux, Thibault; Martinez, Julien; Jiggins, Francis; Charlat, Sylvain; Vavre, Fabrice; Lejon, David; Gibert, Patricia; Mouton, Laurence",Back and forth Wolbachia transfers reveal efficient strains to control spotted wing drosophila populations.,Journal of Applied Ecology,0021-8901,2408-2418,5,55,Studies that did not meet inclusion criteria,,
2,2018,"Lopez, Valerie; Cortesero, Anne Marie; Poinsot, Denis",Influence of the symbiont Wolbachia on life history traits of the cabbage root fly (Delia radicum),Journal of Invertebrate Pathology,0022-2011,24-31,,158,Studies that did not meet inclusion criteria,,
2,2018,"Bahareth, Osama; Alsahhaf, Zuhair; Saleh, Abdulmajeed; Hijji, Adnan; Osman, Gamal",The Effect of Bacillus thuringiensis israelensis (Bti) as a Microbial Control Agent against Musca domestica in Makkah Region,Journal of Pure and Applied Microbiology,0973-7510,2077-2085,4,12,Studies that did not meet inclusion criteria,,
2,2018,"Corro, Michela; Skarin, Joakim; Borjesson, Stefan; Rota, Ada",Occurrence and characterization of methicillin-resistant Staphylococcus pseudintermedius in successive parturitions of bitches and their puppies in two kennels in Italy,Bmc Veterinary Research,,308,,14,Studies that did not meet inclusion criteria,,
2,2018,"Stafford, Irene A.; Rodrigue, Eliza; Berra, Alexandra; Adams, Wesley; Heard, Asha J.; Hagan, Joseph L.; Stafford, Shawn J.",The strong correlation between neonatal early-onset Group B Streptococcal disease and necrotizing enterocolitis,European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,93-97,,223,Studies that did not meet inclusion criteria,,
2,2018,"Blossom, Sarah J.; Fernandes, Lorenzo; Bai, Shasha; Khare, Sangeeta; Gokulan, Kuppan; Yuan, Youzhong; Dewall, Michael; Simmen, Frank A.; Gilbert, Kathleen M.",Opposing Actions of Developmental Trichloroethylene and High-Fat Diet Coexposure on Markers of Lipogenesis and Inflammation in Autoimmune-Prone Mice,Toxicological Sciences,1096-6080,313-327,1,164,Studies that did not meet inclusion criteria,,
2,2018,"da Cunha, Lucas Marques; Wilkins, Laetitia G. E.; Menin, Laure; Ortiz, Daniel; Vocat-Mottier, Veronique; Wedekind, Claus",Consumption of carotenoids not increased by bacterial infection in brown trout embryos (Salmo trutta),Plos One,1932-6203,e0198834,6,13,Studies that did not meet inclusion criteria,,
2,2018,"El Sadik, Abir; Mohamed, Enas; El Zainy, Ahmed","Postnatal changes in the development of rat submandibular glands in offspring of diabetic mothers: Biochemical, histological and ultrastructural study",Plos One,1932-6203,e0205372,10,13,Studies that did not meet inclusion criteria,,
2,2018,"Fricke, Erin M.; Elgin, Timothy G.; Gong, Huiyu; Reese, Jeff; Gibson-Corley, Katherine N.; Weiss, Robert M.; Zimmerman, Kathy; Bowdler, Noelle C.; Kalantera, Karen M.; Mills, David A.; Underwood, Mark A.; McElroy, Steven J.",Lipopolysaccharide-induced maternal inflammation induces direct placental injury without alteration in placental blood flow and induces a secondary fetal intestinal injury that persists into adulthood,American Journal of Reproductive Immunology,1046-7408,e12816,"5, Sp. Iss. SI",79,Studies that did not meet inclusion criteria,,
2,2018,"Fuchs, Siiri; Sundstroem, Liselotte; Bos, Nick; Stucki, Dimitri; Freitak, Dalial",Induced immune responses in Formica fusca (Hymenoptera: Formicidae).,Myrmecological News,1994-4136; 1997-3500,53-66,,28,Studies that did not meet inclusion criteria,,
2,2018,"Hodžić, Adnan; Mrowietz, Naike; Cézanne, Rita; Bruckschwaiger, Pia; Punz, Sylvia; Habler, Verena Elisabeth; Tomsik, Valentina; Lazar, Judit; Duscher, Georg G.; Glawischnig, Walter; Fuehrer, Hans-Peter","Occurrence and diversity of arthropod-transmitted pathogens in red foxes (Vulpes vulpes) in western Austria, and possible vertical (transplacental) transmission of Hepatozoon canis",Parasitology,1469-8161,335-344,3,145,Studies that did not meet inclusion criteria,,
2,2018,"Keskin, F.; Ciftci, S.; Keceli, S. A.; Koksal, M. O.; Caliskan, E.; Cakiroglu, Y.; Agacfidan, A.",Comparison of Culture and Real-time Polymerase Chain Reaction Methods for Detection of Mycoplasma hominis in Amniotic Fluids Samples,Nigerian Journal of Clinical Practice,1119-3077,1127-1131,9,21,Studies that did not meet inclusion criteria,,
2,2018,"Li, Lan-Hua; Zhang, Yi; Zhu, Dan",Effects of antibiotic treatment on the fecundity of Rhipicephalus haemaphysaloides ticks,Parasites & Vectors,1756-3305,242,,11,Studies that did not meet inclusion criteria,,
2,2018,"Li, Lan-Hua; Zhang, Yi; Zhu, Dan; Zhou, Xiao-Nong",Endosymbionts Alter Larva-to-Nymph Transstadial Transmission of Babesia microti in Rhipicephalus haemaphysaloides Ticks,Frontiers in Microbiology,1664-302X,1415,,9,Studies that did not meet inclusion criteria,,
2,2018,"Lin, Jingyu; Ye, Rongjian; Thekke-Veetil, Thanuja; Staton, Margaret E.; Arelli, Prakash R.; Bernard, Ernest C.; Hewezi, Tarek; Domier, Leslie L.; Hajimorad, M. R.",A novel picornavirus-like genome from transcriptome sequencing of sugar beet cyst nematode represents a new putative genus.,Journal of General Virology,0022-1317,1418-1424,10,99,Studies that did not meet inclusion criteria,,
2,2018,"Ling, Tahlia; Hernandez-Jover, Marta; Sordillo, Lorraine M.; Abuelo, Angel",Maternal late-gestation metabolic stress is associated with changes in immune and metabolic responses of dairy calves,Journal of Dairy Science,0022-0302,6568-6580,7,101,Studies that did not meet inclusion criteria,,
2,2018,"Paria, Anutosh; Makesh, M.; Chaudhari, Aparna; Purushothaman, C. S.; Rajendran, K. V.","Molecular characterisation, ontogeny and expression analysis of melanoma differentiation-associated factor 5 (MDA5) from Asian seabass, Lates calcarifer.",Developmental & Comparative Immunology,0145-305X,71-82,,78,Studies that did not meet inclusion criteria,,
2,2018,"Campbell, Matthew A.; Lukasik, Piotr; Meyer, Mariah C.; Buckner, Mark; Simon, Chris; Veloso, Claudio; Michalik, Anna; McCutcheon, John P.",Changes in Endosymbiont Complexity Drive Host-Level Compensatory Adaptations in Cicadas,mBio,2150-7511,e02104-18,6,9,Studies that did not meet inclusion criteria,,
2,2018,"Cole, Erin L.; Ilies, Iulian; Rosengaus, Rebeca B.",Competing Physiological Demands During Incipient Colony Foundation in a Social Insect: Consequences of Pathogenic Stress.,Frontiers in Ecology and Evolution,2296-701X; 2296-701X,103,,6,Studies that did not meet inclusion criteria,,
2,2018,"Diehl, Janina M. C.; Meunier, Joel",Surrounding pathogens shape maternal egg care but not egg production in the European earwig.,Behavioral Ecology,1045-2249,128-136,1,29,Studies that did not meet inclusion criteria,,
2,2018,"Rhinesmith-Carranza, Jennifer; Liu, Wenqi; Tomberlin, Jeffery K.; Longnecker, Michael; Tarone, Aaron M.",Impacts of dietary amino acid composition and microbial presence on preference and performance of immature Lucilia sericata (Diptera: Calliphoridae),Ecological Entomology,0307-6946,612-620,5,43,Studies that did not meet inclusion criteria,,
3,2018,"Darolova, Alzbeta; Kristofik, Jan; Majtan, Juraj; Zeman, Michal; Okuliarova, Monika; Knauer, Felix; Rubacova, Lucia; Hoi, Herbert",Does breeding environment affect eggshell bacteria load and female antibacterial defence investment?,Tichodroma,1337-026X,35-47,,30,Studies that did not meet inclusion criteria,,
3,2018,"Lammert, Catherine R.; Frost, Elizabeth L.; Bolte, Ashley C.; Paysour, Matt J.; Shaw, Mariah E.; Bellinger, Calli E.; Weigel, Thaddeus K.; Zunder, Eli R.; Lukens, John R.",Cutting Edge: Critical Roles for Microbiota-Mediated Regulation of the Immune System in a Prenatal Immune Activation Model of Autism,Journal of Immunology,0022-1767,845-850,3,201,Studies that did not meet inclusion criteria,,
3,2018,"Osimani, Andrea; Milanovic, Vesna; Cardinali, Federica; Garofalo, Cristiana; Clementi, Francesca; Ruschioni, Sara; Riolo, Paola; Isidoro, Nunzio; Loreto, Nino; Galarini, Roberta; Moretti, Simone; Petruzzelli, Annalisa; Micci, Eleonora; Tonucci, Franco; Aquilanti, Lucia",Distribution of Transferable Antibiotic Resistance Genes in Laboratory-Reared Edible Mealworms (Tenebrio molitor L.),Frontiers in Microbiology,1664-302X,2702,,9,Studies that did not meet inclusion criteria,,
4,2018,"Lindheim, Lisa; Manti, Maria; Fornes, Romina; Bashir, Mina; Czarnewski, Paulo; Diaz, Oscar E.; Seifert, Maike; Engstrand, Lars; Villablanca, Eduardo J.; Obermayer-Pietsch, Barbara; Stener-Victorin, Elisabet",Reproductive and Behavior Dysfunction Induced by Maternal Androgen Exposure and Obesity Is Likely Not Gut Microbiome-Mediated,Journal of the Endocrine Society,,1363-1380,12,2,Studies that did not meet inclusion criteria,,
4,2018,"Mushegian, Alexandra A.; Walser, Jean-Claude; Sullam, Karen E.; Ebert, Dieter",The microbiota of diapause: How host-microbe associations are formed after dormancy in an aquatic crustacean,Journal of Animal Ecology,0021-8790,400-413,2,87,Studies that did not meet inclusion criteria,,
4,2018,"Trevelline, Brian K.; MacLeod, Kirsty J.; Knutie, Sarah A.; Langkilde, Tracy; Kohl, Kevin D.",In ovo microbial communities: a potential mechanism for the initial acquisition of gut microbiota among oviparous birds and lizards,Biology Letters,,20180225,7,14,Studies that did not meet inclusion criteria,,
4,2018,"Wankhade, Umesh D.; Zhong, Ying; Kang, Ping; Alfaro, Maria; Chintapalli, Sree; Piccolo, Brian D.; Mercer, Kelly E.; Andres, Aline; Thakali, Keshari M.; Shankar, Kartik",Maternal High-Fat Diet Programs Offspring Liver Steatosis in a Sexually Dimorphic Manner in Association with Changes in Gut Microbial Ecology in Mice,Scientific Reports,2045-2322,16502,,8,Studies that did not meet inclusion criteria,,
4,2018,"Bourguignon, Thomas; Lo, Nathan; Dietrich, Carsten; Sobotnik, Jan; Sidek, Sarah; Roisin, Yves; Brune, Andreas; Evans, Theodore A.",Rampant Host Switching Shaped the Termite Gut Microbiome,Current Biology,0960-9822,649-+,4,28,Studies that did not meet inclusion criteria,Sampled from colony,
4,2018,"Ledon-Rettig, Cristina C.; Moczek, Armin P.; Ragsdale, Erik J.",Diplogastrellus nematodes are sexually transmitted mutualists that alter the bacterial and fungal communities of their beetle host,Proceedings of the National Academy of Sciences of the United States of America,0027-8424,10696-10701,42,115,Studies that did not meet inclusion criteria,,
4,2018,"Mann, Phyllis E.; Huynh, Kevin; Widmer, Giovanni",Maternal high fat diet and its consequence on the gut microbiome: A rat model,Gut Microbes,1949-0984,143-154,2,9,Studies that did not meet inclusion criteria,,
4,2018,"Niimi, K.; Usami, K.; Fujita, Y.; Abe, M.; Furukawa, M.; Suyama, Y.; Sakai, Y.; Kamioka, M.; Shibata, N.; Park, E. J.; Sato, S.; Kiyono, H.; Yoneyama, H.; Kitazawa, H.; Watanabe, K.; Nochi, T.; Aso, H.",Development of immune and microbial environments is independently regulated in the mammary gland,Mucosal Immunology,1933-0219,643-653,3,11,Studies that did not meet inclusion criteria,,
4,2018,"Pace, Ryan M.; Prince, Amanda L.; Ma, Jun; Belfort, Benjamin D. W.; Harvey, Alexia S.; Hu, Min; Baquero, Karalee; Blundell, Peter; Takahashi, Diana; Dean, Tyler; Kievit, Paul; Sullivan, Elinor L.; Friedman, Jacob E.; Grove, Kevin; Aagaard, Kjersti M.",Modulations in the offspring gut microbiome are refractory to postnatal synbiotic supplementation among juvenile primates,BMC Microbiology,1471-2180,28,,18,Studies that did not meet inclusion criteria,,
4,2018,"Paul, Heather A.; Collins, Kelsey H.; Bomhof, Marc R.; Vogel, Hans J.; Reimer, Raylene A.",Potential Impact of Metabolic and Gut Microbial Response to Pregnancy and Lactation in Lean and Diet-Induced Obese Rats on Offspring Obesity Risk,Molecular Nutrition & Food Research,1613-4125,1700820,4,62,Studies that did not meet inclusion criteria,,
4,2018,"Boonyarittichaikij, Roschong; Verbrugghe, Elin; Dekeukeleire, Daan; Strubbe, Diederik; Van Praet, Sarah; De Beelde, Robbe; Rouffaer, Lieze; Pasmans, Frank; Bonte, Dries; Verheyen, Kris; Lens, Luc; Martel, An",Mitigating the impact of microbial pressure on great (Parus major) and blue (Cyanistes caeruleus) tit hatching success through maternal immune investment,Plos One,1932-6203,e0204022,10,13,Studies that did not meet inclusion criteria,,
4,2018,"Bridges, Kristin N.; Zhang, Yan; Curran, Thomas E.; Magnuson, Jason T.; Venables, Barney J.; Durrer, Katherine E.; Allen, Michael S.; Roberts, Aaron P.",Alterations to the Intestinal Microbiome and Metabolome of Pimephales promelas and Mus musculus Following Exposure to Dietary Methylmercury,Environmental Science & Technology,0013-936X,8774-8784,15,52,Studies that did not meet inclusion criteria,,
4,2018,"Dewanckele, Lore; Vlaeminck, Bruno; Hernandez-Sanabria, Emma; Ruiz-Gonzalez, Alexis; Debruyne, Sieglinde; Jeyanathan, Jeyamalar; Fievez, Veerle",Rumen Biohydrogenation and Microbial Community Changes Upon Early Life Supplementation of 22:6n-3 Enriched Microalgae to Goats,Frontiers in Microbiology,1664-302X,573,,9,Studies that did not meet inclusion criteria,,
4,2018,"Osimani, Andrea; Milanovic, Vesna; Cardinali, Federica; Garofalo, Cristiana; Clementi, Francesca; Pasquini, Marina; Riolo, Paola; Ruschioni, Sara; Isidoro, Nunzio; Loreto, Nino; Franciosi, Elena; Tuohy, Kieran; Petruzzelli, Annalisa; Foglini, Martina; Gabucci, Claudia; Tonucci, Franco; Aquilanti, Lucia",The bacterial biota of laboratory-reared edible mealworms (Tenebrio molitor L.): From feed to frass,International Journal of Food Microbiology,0168-1605,49-60,,272,Studies that did not meet inclusion criteria,,
4,2018,"Sherman, Shermel B.; Sarsour, Nadeen; Salehi, Marziyeh; Schroering, Allen; Mell, Blair; Joe, Bina; Hill, Jennifer W.",Prenatal androgen exposure causes hypertension and gut microbiota dysbiosis,Gut Microbes,1949-0984,400-421,5,9,Studies that did not meet inclusion criteria,,
1,2019,"He, Zhijiang; Wu, Jiaman; Xiao, Bin; Xiao, Shanqiu; Li, Hongping; Wu, Kaifeng",The Initial Oral Microbiota of Neonates Among Subjects With Gestational Diabetes Mellitus,Frontiers in Pediatrics,2296-2360,513,,7,Studies that did not meet inclusion criteria,,
1,2019,"Hu, Jianzhong; Ly, Jenny; Zhang, Wei; Huang, Yonglin; Glover, Vivette; Peter, Inga; Hurd, Yasmin L.; Nomura, Yoko",Microbiota of newborn meconium is associated with maternal anxiety experienced during pregnancy,Developmental Psychobiology,0012-1630,640-649,"5, Sp. Iss. SI",61,Studies that did not meet inclusion criteria,,
1,2019,"Liu, Chen-Jian; Liang, Xiao; Niu, Zhao-Yi; Jin, Qing; Zeng, Xue-Qin; Wang, Wen-Xue; Li, Meng-Yue; Chen, Xue-Rong; Meng, Hai-Yun; Shen, Ran; Sun, Shi-Yi; Luo, Yi-Yong; Yang, En; Geng, Jia-Wei; Li, Xiao-Ran",Is the delivery mode a critical factor for the microbial communities in the meconium?,Ebiomedicine,2352-3964,354-363,,49,Studies that did not meet inclusion criteria,,
1,2019,"Zanella, Adriana; Silveira, Rita C.; Roesch, Luiz F. W.; Corso, Andrea L.; Dobbler, Priscila T.; Mai, Volker; Procianoy, Renato S.",Influence of own mother's milk and different proportions of formula on intestinal microbiota of very preterm newborns,Plos One,1932-6203,e0217296,5,14,Studies that did not meet inclusion criteria,,
1,2019,"Brummaier, Tobias; Kabeer, Basirudeen Syed Ahamed; Lindow, Stephen; Konje, Justin C.; Pukrittayaamee, Sasithon; Utzinger, Juerg; Toufiq, Mohammed; Antoniou, Antonios; Marr, Alexandra K.; Suriyakan, Sangrawee; Kino, Tomoshige; Al Khodor, Souhaila; Terranegra, Annalisa; Nosten, Francois; Paris, Daniel H.; McGready, Rose; Chaussabel, Damien",A prospective cohort for the investigation of alteration in temporal transcriptional and microbiome trajectories preceding preterm birth: a study protocol,Bmj Open,2044-6055,e023417,1,9,Studies that did not meet inclusion criteria,,
1,2019,"Mu, Xiaofeng; Zhao, Changying; Yang, Junjie; Wei, Xiaofang; Zhang, Jiaming; Liang, Cheng; Gai, Zhongtao; Zhang, Chunling; Zhu, Dequan; Wang, Ye; Zhang, Lei",Group B Streptococcus colonization induces Prevotella and Megasphaera abundance-featured vaginal microbiome compositional change in non-pregnant women,PeerJ,2167-8359,e7474,,7,Studies that did not meet inclusion criteria,,
1,2019,"Robinson, Helen; Barrett, Helen; Gomez-Arango, Luisa; McIntyre, H. David; Callaway, Leonie; Nitert, Marloes Dekker",Ketonuria Is Associated with Changes to the Abundance of Roseburia in the Gut Microbiota of Overweight and Obese Women at 16 Weeks Gestation: A Cross-Sectional Observational Study,Nutrients,,1836,8,11,Studies that did not meet inclusion criteria,,
1,2019,"De Long, Jonathan R.; Semchenko, Marina; Pritchard, William J.; Cordero, Irene; Fry, Ellen L.; Jackson, Benjamin G.; Kurnosova, Ksenia; Ostle, Nicholas J.; Johnson, David; Baggs, Elizabeth M.; Bardgett, Richard D.",Drought soil legacy overrides maternal effects on plant growth,Functional Ecology,0269-8463,1400-1410,8,33,Studies that did not meet inclusion criteria,,
1,2019,"Gomez-Lopez, Nardhy; Romero, Roberto; Leng, Yaozhu; Xu, Yi; Slutsky, Rebecca; Levenson, Dustyn; Pacora, Percy; Jung, Eunjung; Panaitescu, Bogdan; Hsu, Chaur-Dong",The origin of amniotic fluid monocytes/macrophages in women with intra-amniotic inflammation or infection,Journal of Perinatal Medicine,0300-5577,822-840,8,47,Studies that did not meet inclusion criteria,,
1,2019,"Kim, Yoo-Min; Kim, Ji Y.; Lee, Mi-Young; Choi, Suk-Joo; Oh, Soo-young; Shim, Jae-Yoon; Roh, Cheong-Rae",Prospective study of bidet toilet use: Association of abnormal vaginal colonization and preterm birth in high-risk pregnant women,Journal of Obstetrics and Gynaecology Research,1341-8076,1134-1142,6,45,Studies that did not meet inclusion criteria,,
1,2019,"Gultekin-Elbir, Elif E.; Ford, Catherine; Genc, Mehmet R.",The value of amniotic fluid analysis in patients with suspected clinical chorioamnionitis,Journal of Perinatal Medicine,0300-5577,493-499,5,47,Studies that did not meet inclusion criteria,,
1,2019,"Merello, Marion; Lotte, Laurene; Gonfrier, Sebastien; Trolli, Sergio Eleni Dit; Casagrande, Florence; Ruimy, Raymond; Bongain, Andre",Enterobacteria vaginal colonization among patients with preterm premature rupture of membranes from 24 to 34 weeks of gestation and neonatal infection risk,Journal of Gynecology Obstetrics and Human Reproduction,2468-7847,187-191,3,48,Studies that did not meet inclusion criteria,,
1,2019,"Al-Matary, Abdulrahman; Heena, Humariya; AlSarheed, Ayah S.; Ouda, Wafa; AlShahrani, Dayel A.; Wani, Tariq A.; Qaraqei, Mostafa; Abu-Shaheen, Amani",Characteristics of neonatal Sepsis at a tertiary care hospital in Saudi Arabia,Journal of Infection and Public Health,1876-0341,666-672,5,12,Studies that did not meet inclusion criteria,,
1,2019,"Fajardo, Carlos; Alshaikh, Belal; Harabor, Andrei",Prolonged use of antibiotics after birth is associated with increased morbidity in preterm infants with negative cultures,Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,4060-4066,24,32,Studies that did not meet inclusion criteria,,
1,2019,"Li, Yang; Chen, Jin-song; Xue, Ge; Song, Hui-xing; Liu, Chun-hua",Disappearing rhizosphere effect of shaded ramet re-occurs through support of carbon assimilates from unshaded one in a clonal fragment,Rhizosphere,,100166,,11,Studies that did not meet inclusion criteria,,
1,2019,"Kaliaperumal, Jagatheesh; Mathews, Neha Sajan; Devi, Pushpa; Santhpur, Unmesh; Pandurangan, A.; Mittal, Amit; Alam, Md Shamshir",Therapeutic Outcome Assessment on Post-Partum Sepsis,Journal of Evolution of Medical and Dental Sciences-Jemds,2278-4748,3720-3723,49,8,Studies that did not meet inclusion criteria,,
1,2019,"Stinson, Lisa F.; Payne, Matthew S.; Keelan, Jeffrey A.",Placental and intra-amniotic inflammation are associated with altered fetal immune responses at birth,Placenta,0143-4004,15-23,,85,Studies that did not meet inclusion criteria,,
1,2019,"McDade, Thomas W.; Kuzawa, Chris W.; Borja, Judith; Arevalo, Jesusa M. G.; Miller, Greg; Cole, Steve W.",Profiles of gene expression in maternal blood predict offspring birth weight in normal pregnancy,Journal of Developmental Origins of Health and Disease,2040-1744,676-682,6,10,Studies that did not meet inclusion criteria,,
1,2019,"Bernstein, Charles N.; Burchill, Charles; Targownik, Laura E.; Singh, Harminder; Roos, Leslie L.","Events Within the First Year of Life, but Not the Neonatal Period, Affect Risk for Later Development of Inflammatory Bowel Diseases",Gastroenterology,0016-5085,2190-2197,8,156,Studies that did not meet inclusion criteria,,
1,2019,"Sneck, Michelle E.; Rudgers, Jennifer A.; Young, Carolyn A.; Miller, Tom E. X.",Does host outcrossing disrupt compatibility with heritable symbionts?,Oikos,0030-1299,892-903,6,128,Studies that did not meet inclusion criteria,,
2,2019,"Quigley, Kate M.; Willis, Bette L.; Kenkel, Carly D.",Transgenerational inheritance of shuffled symbiont communities in the coral Montipora digitata,Scientific Reports,2045-2322,13328,1,9,Studies that did not meet inclusion criteria,,
2,2019,"Stengle, Anne G.; Farrell, Terence M.; Freitas, Keenan S.; Lind, Craig M.; Price, Steven J.; Butler, Brian O.; Tadevosyan, Tigran; Isidoro-Ayza, Marcos; Taylor, Daniel R.; Winzeler, Megan; Lorch, Jeffrey M.",Evidence of Vertical Transmission of the Snake Fungal Pathogen Ophidiomyces ophiodiicola.,Journal of Wildlife Diseases,0090-3558,961-964,4,55,Studies that did not meet inclusion criteria,,
2,2019,"Kolesnikov, Felix N.; Karamyan, Arevik N.",Parental care and offspring survival in Pterostichus anthracinus (Coleoptera: Carabidae): An experimental study,European Journal of Entomology,,33-41,,116,Studies that did not meet inclusion criteria,,
2,2019,"Mamuad, Lovelia L.; Lee, Sung Sill; Lee, Sang Suk",Recent insight and future techniques to enhance rumen fermentation in dairy goats,Asian-Australasian Journal of Animal Sciences,1011-2367,1321-1330,"8, Sp. Iss. SI",32,Studies that did not meet inclusion criteria,,
2,2019,"Becking, Thomas; Chebbi, Mohamed Amine; Giraud, Isabelle; Moumen, Bouziane; Laverre, Tiffany; Caubet, Yves; Peccoud, Jean; Gilbert, Clement; Cordaux, Richard",Sex chromosomes control vertical transmission of feminizing Wolbachia symbionts in an isopod,PLoS Biology,1544-9173,e3000438,10,17,Studies that did not meet inclusion criteria,,
